clause,risk,category,reason
Data encrypted at rest. (variation 0),Low,Privacy,Secure
Termination penalty applies. (variation 1),High,Termination,Financial burden
Payment due within 30 days. (variation 2),Low,Payment,Standard terms
Contract auto-renews annually. (variation 3),Medium,Termination,Lock-in risk
Termination penalty applies. (variation 4),High,Termination,Financial burden
Vendor is not liable for indirect damages. (variation 5),High,Liability,Removes accountability
Full liability accepted by vendor. (variation 6),Low,Liability,Favorable to client
Vendor liable only for direct damages. (variation 7),Medium,Liability,Partial limitation
Contract auto-renews annually. (variation 8),Medium,Termination,Lock-in risk
Liability is capped at total fees paid. (variation 9),High,Liability,Limits compensation
Late fee of 5% per month. (variation 10),Medium,Payment,High penalty
Company may change pricing anytime. (variation 11),High,Payment,Unpredictable costs
Company can terminate without notice. (variation 12),High,Termination,Unfair
Company can terminate without notice. (variation 13),High,Termination,Unfair
Company can terminate without notice. (variation 14),High,Termination,Unfair
Liability is capped at total fees paid. (variation 15),High,Liability,Limits compensation
Data encrypted at rest. (variation 16),Low,Privacy,Secure
User activity tracked. (variation 17),Medium,Privacy,Tracking concern
Company may change pricing anytime. (variation 18),High,Payment,Unpredictable costs
Liability is capped at total fees paid. (variation 19),High,Liability,Limits compensation
Company may change pricing anytime. (variation 20),High,Payment,Unpredictable costs
Vendor is not liable for indirect damages. (variation 21),High,Liability,Removes accountability
Liability is capped at total fees paid. (variation 22),High,Liability,Limits compensation
Data encrypted at rest. (variation 23),Low,Privacy,Secure
Company can terminate without notice. (variation 24),High,Termination,Unfair
Contract auto-renews annually. (variation 25),Medium,Termination,Lock-in risk
Flexible payment options available. (variation 26),Low,Payment,User-friendly
Liability is capped at total fees paid. (variation 27),High,Liability,Limits compensation
Company may change pricing anytime. (variation 28),High,Payment,Unpredictable costs
Late fee of 5% per month. (variation 29),Medium,Payment,High penalty
Company can terminate without notice. (variation 30),High,Termination,Unfair
Company may change pricing anytime. (variation 31),High,Payment,Unpredictable costs
Client data shared with third parties. (variation 32),High,Privacy,Privacy risk
Liability is capped at total fees paid. (variation 33),High,Liability,Limits compensation
Late fee of 5% per month. (variation 34),Medium,Payment,High penalty
User activity tracked. (variation 35),Medium,Privacy,Tracking concern
Termination penalty applies. (variation 36),High,Termination,Financial burden
Company can terminate without notice. (variation 37),High,Termination,Unfair
Company may change pricing anytime. (variation 38),High,Payment,Unpredictable costs
Payment due within 30 days. (variation 39),Low,Payment,Standard terms
Late fee of 5% per month. (variation 40),Medium,Payment,High penalty
Late fee of 5% per month. (variation 41),Medium,Payment,High penalty
Data encrypted at rest. (variation 42),Low,Privacy,Secure
Vendor liable only for direct damages. (variation 43),Medium,Liability,Partial limitation
Termination penalty applies. (variation 44),High,Termination,Financial burden
Client data shared with third parties. (variation 45),High,Privacy,Privacy risk
Full liability accepted by vendor. (variation 46),Low,Liability,Favorable to client
Data anonymized. (variation 47),Low,Privacy,Privacy preserved
Payment due within 30 days. (variation 48),Low,Payment,Standard terms
Data anonymized. (variation 49),Low,Privacy,Privacy preserved
Contract auto-renews annually. (variation 50),Medium,Termination,Lock-in risk
Vendor liable only for direct damages. (variation 51),Medium,Liability,Partial limitation
Termination penalty applies. (variation 52),High,Termination,Financial burden
Termination penalty applies. (variation 53),High,Termination,Financial burden
Client data shared with third parties. (variation 54),High,Privacy,Privacy risk
Vendor liable only for direct damages. (variation 55),Medium,Liability,Partial limitation
Data encrypted at rest. (variation 56),Low,Privacy,Secure
Client data shared with third parties. (variation 57),High,Privacy,Privacy risk
Client data shared with third parties. (variation 58),High,Privacy,Privacy risk
Late fee of 5% per month. (variation 59),Medium,Payment,High penalty
Data encrypted at rest. (variation 60),Low,Privacy,Secure
Late fee of 5% per month. (variation 61),Medium,Payment,High penalty
Contract auto-renews annually. (variation 62),Medium,Termination,Lock-in risk
Contract auto-renews annually. (variation 63),Medium,Termination,Lock-in risk
Data anonymized. (variation 64),Low,Privacy,Privacy preserved
Contract auto-renews annually. (variation 65),Medium,Termination,Lock-in risk
Data encrypted at rest. (variation 66),Low,Privacy,Secure
Late fee of 5% per month. (variation 67),Medium,Payment,High penalty
User activity tracked. (variation 68),Medium,Privacy,Tracking concern
Termination penalty applies. (variation 69),High,Termination,Financial burden
Termination penalty applies. (variation 70),High,Termination,Financial burden
Payment due within 30 days. (variation 71),Low,Payment,Standard terms
Vendor liable only for direct damages. (variation 72),Medium,Liability,Partial limitation
Data anonymized. (variation 73),Low,Privacy,Privacy preserved
Contract auto-renews annually. (variation 74),Medium,Termination,Lock-in risk
Data anonymized. (variation 75),Low,Privacy,Privacy preserved
Contract auto-renews annually. (variation 76),Medium,Termination,Lock-in risk
Termination penalty applies. (variation 77),High,Termination,Financial burden
Flexible payment options available. (variation 78),Low,Payment,User-friendly
Termination requires 60 days notice. (variation 79),Low,Termination,Reasonable
Company can terminate without notice. (variation 80),High,Termination,Unfair
Termination requires 60 days notice. (variation 81),Low,Termination,Reasonable
Company can terminate without notice. (variation 82),High,Termination,Unfair
Full liability accepted by vendor. (variation 83),Low,Liability,Favorable to client
Payment due within 30 days. (variation 84),Low,Payment,Standard terms
Flexible payment options available. (variation 85),Low,Payment,User-friendly
Data encrypted at rest. (variation 86),Low,Privacy,Secure
Termination penalty applies. (variation 87),High,Termination,Financial burden
Vendor liable only for direct damages. (variation 88),Medium,Liability,Partial limitation
Company can terminate without notice. (variation 89),High,Termination,Unfair
Late fee of 5% per month. (variation 90),Medium,Payment,High penalty
Data encrypted at rest. (variation 91),Low,Privacy,Secure
Flexible payment options available. (variation 92),Low,Payment,User-friendly
Late fee of 5% per month. (variation 93),Medium,Payment,High penalty
Liability is capped at total fees paid. (variation 94),High,Liability,Limits compensation
Vendor liable only for direct damages. (variation 95),Medium,Liability,Partial limitation
Data anonymized. (variation 96),Low,Privacy,Privacy preserved
Company can terminate without notice. (variation 97),High,Termination,Unfair
Termination requires 60 days notice. (variation 98),Low,Termination,Reasonable
Termination penalty applies. (variation 99),High,Termination,Financial burden
Termination requires 60 days notice. (variation 100),Low,Termination,Reasonable
Company can terminate without notice. (variation 101),High,Termination,Unfair
Client data shared with third parties. (variation 102),High,Privacy,Privacy risk
Contract auto-renews annually. (variation 103),Medium,Termination,Lock-in risk
Termination requires 60 days notice. (variation 104),Low,Termination,Reasonable
Payment due within 30 days. (variation 105),Low,Payment,Standard terms
Data anonymized. (variation 106),Low,Privacy,Privacy preserved
Flexible payment options available. (variation 107),Low,Payment,User-friendly
Vendor liable only for direct damages. (variation 108),Medium,Liability,Partial limitation
Flexible payment options available. (variation 109),Low,Payment,User-friendly
Company may change pricing anytime. (variation 110),High,Payment,Unpredictable costs
Late fee of 5% per month. (variation 111),Medium,Payment,High penalty
Vendor is not liable for indirect damages. (variation 112),High,Liability,Removes accountability
Client data shared with third parties. (variation 113),High,Privacy,Privacy risk
Vendor liable only for direct damages. (variation 114),Medium,Liability,Partial limitation
Company can terminate without notice. (variation 115),High,Termination,Unfair
Flexible payment options available. (variation 116),Low,Payment,User-friendly
Company may change pricing anytime. (variation 117),High,Payment,Unpredictable costs
Termination penalty applies. (variation 118),High,Termination,Financial burden
Vendor is not liable for indirect damages. (variation 119),High,Liability,Removes accountability
Vendor is not liable for indirect damages. (variation 120),High,Liability,Removes accountability
Data anonymized. (variation 121),Low,Privacy,Privacy preserved
Data anonymized. (variation 122),Low,Privacy,Privacy preserved
Data anonymized. (variation 123),Low,Privacy,Privacy preserved
Vendor is not liable for indirect damages. (variation 124),High,Liability,Removes accountability
Liability is capped at total fees paid. (variation 125),High,Liability,Limits compensation
Full liability accepted by vendor. (variation 126),Low,Liability,Favorable to client
Data encrypted at rest. (variation 127),Low,Privacy,Secure
Data anonymized. (variation 128),Low,Privacy,Privacy preserved
Late fee of 5% per month. (variation 129),Medium,Payment,High penalty
Contract auto-renews annually. (variation 130),Medium,Termination,Lock-in risk
Vendor liable only for direct damages. (variation 131),Medium,Liability,Partial limitation
Liability is capped at total fees paid. (variation 132),High,Liability,Limits compensation
Flexible payment options available. (variation 133),Low,Payment,User-friendly
Vendor is not liable for indirect damages. (variation 134),High,Liability,Removes accountability
User activity tracked. (variation 135),Medium,Privacy,Tracking concern
Data encrypted at rest. (variation 136),Low,Privacy,Secure
Flexible payment options available. (variation 137),Low,Payment,User-friendly
Company can terminate without notice. (variation 138),High,Termination,Unfair
Termination penalty applies. (variation 139),High,Termination,Financial burden
Termination requires 60 days notice. (variation 140),Low,Termination,Reasonable
Company may change pricing anytime. (variation 141),High,Payment,Unpredictable costs
Data encrypted at rest. (variation 142),Low,Privacy,Secure
Full liability accepted by vendor. (variation 143),Low,Liability,Favorable to client
Client data shared with third parties. (variation 144),High,Privacy,Privacy risk
Company can terminate without notice. (variation 145),High,Termination,Unfair
Payment due within 30 days. (variation 146),Low,Payment,Standard terms
Vendor is not liable for indirect damages. (variation 147),High,Liability,Removes accountability
Company may change pricing anytime. (variation 148),High,Payment,Unpredictable costs
Late fee of 5% per month. (variation 149),Medium,Payment,High penalty
Full liability accepted by vendor. (variation 150),Low,Liability,Favorable to client
Data encrypted at rest. (variation 151),Low,Privacy,Secure
Flexible payment options available. (variation 152),Low,Payment,User-friendly
Payment due within 30 days. (variation 153),Low,Payment,Standard terms
User activity tracked. (variation 154),Medium,Privacy,Tracking concern
Client data shared with third parties. (variation 155),High,Privacy,Privacy risk
User activity tracked. (variation 156),Medium,Privacy,Tracking concern
Company may change pricing anytime. (variation 157),High,Payment,Unpredictable costs
Liability is capped at total fees paid. (variation 158),High,Liability,Limits compensation
User activity tracked. (variation 159),Medium,Privacy,Tracking concern
User activity tracked. (variation 160),Medium,Privacy,Tracking concern
Company can terminate without notice. (variation 161),High,Termination,Unfair
Termination requires 60 days notice. (variation 162),Low,Termination,Reasonable
Flexible payment options available. (variation 163),Low,Payment,User-friendly
Company can terminate without notice. (variation 164),High,Termination,Unfair
Payment due within 30 days. (variation 165),Low,Payment,Standard terms
Vendor is not liable for indirect damages. (variation 166),High,Liability,Removes accountability
Contract auto-renews annually. (variation 167),Medium,Termination,Lock-in risk
Company can terminate without notice. (variation 168),High,Termination,Unfair
Data anonymized. (variation 169),Low,Privacy,Privacy preserved
Termination requires 60 days notice. (variation 170),Low,Termination,Reasonable
Full liability accepted by vendor. (variation 171),Low,Liability,Favorable to client
Data anonymized. (variation 172),Low,Privacy,Privacy preserved
Vendor is not liable for indirect damages. (variation 173),High,Liability,Removes accountability
Termination requires 60 days notice. (variation 174),Low,Termination,Reasonable
Liability is capped at total fees paid. (variation 175),High,Liability,Limits compensation
Flexible payment options available. (variation 176),Low,Payment,User-friendly
Flexible payment options available. (variation 177),Low,Payment,User-friendly
Termination penalty applies. (variation 178),High,Termination,Financial burden
Payment due within 30 days. (variation 179),Low,Payment,Standard terms
Vendor is not liable for indirect damages. (variation 180),High,Liability,Removes accountability
Data anonymized. (variation 181),Low,Privacy,Privacy preserved
Termination requires 60 days notice. (variation 182),Low,Termination,Reasonable
Vendor is not liable for indirect damages. (variation 183),High,Liability,Removes accountability
User activity tracked. (variation 184),Medium,Privacy,Tracking concern
Termination requires 60 days notice. (variation 185),Low,Termination,Reasonable
Flexible payment options available. (variation 186),Low,Payment,User-friendly
User activity tracked. (variation 187),Medium,Privacy,Tracking concern
Vendor liable only for direct damages. (variation 188),Medium,Liability,Partial limitation
Company can terminate without notice. (variation 189),High,Termination,Unfair
Company can terminate without notice. (variation 190),High,Termination,Unfair
Late fee of 5% per month. (variation 191),Medium,Payment,High penalty
